date,station_code,station_name,province,city,basin,river,longitude,latitude,water_temp,ph,dissolved_oxygen,conductivity,turbidity,codmn,nh3_n,toc,tp,tn,chlorophyll_a,algae_density,water_quality_class,station_status,secchi_depth_sd_m,secchi_formula,source_file
2020-12-17,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.76,8.06,10.72,686.51,51.32,3.22,0.09,,0.07,2.17,,,Ⅱ,,0.09525561946430153,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-18,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.81,8.05,10.56,762.23,42.77,3.38,0.04,,0.06,2.17,,,Ⅱ,,0.10821657481637523,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-19,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.71,8.04,10.54,655.16,42.91,3.27,0.04,,0.06,2.06,,,Ⅱ,,0.10796930327495283,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-20,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.59,8.01,10.56,574.42,42.92,2.73,0.04,,0.07,1.92,,,Ⅱ,,0.1079516935000383,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-21,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.67,8.05,10.73,576.62,30.8,4.33,0.02,,0.06,1.79,,,Ⅱ,,0.13617762559300334,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-22,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.51,8.1,10.99,571.16,26.17,2.83,0.02,,0.06,1.79,,,Ⅱ,,0.15262604595491816,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-24,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.82,8.12,11.32,559.56,51.11,2.68,0.02,,0.06,1.7,,,Ⅱ,,0.09552942031255983,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-25,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.89,8.29,12.03,591.11,22.66,3.14,0.02,,0.06,1.84,,,Ⅱ,,0.16881433611898805,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-26,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,8.77,8.27,11.75,589.17,35.26,3.24,0.02,,0.06,1.83,,,Ⅱ,,0.12387784551096769,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
2020-12-27,2196,七效港西桥,上海市,崇明区,长江流域,北横引河,121.798307,31.579754,9.11,8.23,11.43,610.99,35.77,3.34,0.02,,0.05,1.92,,,Ⅱ,,0.12263883066225195,SD = 1.5 / NTU^0.7,水质数据/2020-2025年上海市重点流域断面水质数据/上海市_崇明区_长江流域_北横引河_七效港西桥_2196.csv
