date,valid_fraction,water_fraction,boundary_extent_ratio,edge_density,label_source,boundary_zone_name,boundary_label,label_confidence,notes
2022-01-01,1.0,0.6242568370986921,0.01070154577883472,0.05603448275862069,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.35714285714285715,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-01-08,1.0,0.6242568370986921,0.01070154577883472,0.05541871921182266,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.35714285714285715,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-01-15,1.0,0.6278240190249703,0.011890606420927468,0.05665024630541872,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.2857142857142857,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-01-22,1.0,0.6242568370986921,0.015457788347205707,0.054187192118226604,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.15,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-02-07,1.0,0.6171224732461356,0.013079667063020214,0.05541871921182266,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.21428571428571433,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-02-14,1.0,0.6218787158145065,0.005945303210463734,0.05295566502463055,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.6428571428571428,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-02-21,1.0,0.6159334126040428,0.011890606420927468,0.053571428571428575,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,0,0.2857142857142857,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-06-12,1.0,0.6266349583828775,0.02497027348394768,0.05541871921182266,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,1,0.5,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-06-19,1.0,0.6016646848989299,0.026159334126040427,0.05726600985221675,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,1,0.5714285714285714,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
2022-09-08,1.0,0.633769322235434,0.022592152199762187,0.05788177339901478,DLR_GWP_P1D_real_raster_proxy,wusongkou_aoi_boundary_proxy,1,0.35714285714285704,"Derived from DLR Global WaterPack daily real raster masks within a station-centered AOI; label denotes boundary-change proxy relative to the median reference mask, not a manual governance-zone annotation."
