Station_Id_C,Lat,Lon,Alti,City,Station_Name,Cnty,Province,Year,Mon,Day,气压,平均气温,相对湿度,当天降水量,平均风速,平均风向
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,2,1022.773333,15.433333,73,0,0.773333,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,3,1025.758333,14.8625,43.583333,0,1.775,1.862834
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,4,1024.575,14.658333,56.666667,0,0.995833,86.371904
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,5,1022.220833,17.295833,74.291667,0,1.35,111.643635
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,6,1020.15,19.25,67.458333,0,0.629167,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,7,1021.830435,18.330435,51.086957,0,0.843478,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,8,1026.558333,16.0625,50.958333,0,0.983333,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,9,1026.8875,14.183333,58.958333,0,0.695833,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,10,1028.845833,13.920833,60.75,0,0.558333,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,11,1029.7,14.058333,67.5,0,0.7375,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,12,1026.958333,15.933333,69.041667,0,0.654167,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,13,1027.341667,15.591667,68.583333,0,0.841667,42.685153
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,14,1025.895833,16.291667,77.708333,0,0.591667,
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,15,1023.675,18.229167,58.166667,0,0.966667,93.105766
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,16,1021.270833,19.625,83.625,0,1.483333,87.674444
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,17,1015.966667,21.554167,90.958333,0,2.016667,139.745171
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,18,1009.333333,23.920833,79.708333,0,2.5125,175.711201
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,19,1014.63913,18.173913,75.478261,0.1,1.804348,328.469648
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,20,1021.05,14.875,73.541667,0,1.570833,39.34901
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,21,1018.808333,16.758333,86.166667,2.3,1.579167,115.566291
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,22,1027.629167,11.8625,89.291667,0.4,2.2875,347.849866
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,23,1028.404167,11.075,79.541667,1.6,1.383333,13.527475
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,24,1026.5,11.166667,100,7.3,1.091667,17.247584
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,25,1023.2,13.766667,100,22.7,1.058333,1.831382
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,26,1025.775,12.3375,100,4,1.483333,311.704752
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,27,1030.816667,10.579167,85.125,0.5,1.945833,354.054798
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,28,1030.9875,9.454167,64.541667,0,2.066667,354.429279
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,29,1032.279167,9.2625,61.875,0,1.3125,5.431179
58361,31.1031,121.3658,3.4,上海市,闵行,闵行区,上海市,2020,11,30,1033.829167,9.9625,68.041667,0,1.325,20.307323
