sheet_name,sample_date,replicate_index,row_type,secchi_depth_m,turbidity_ntu,water_temp_c,ph,orp_mv,dissolved_oxygen_mg_l,conductivity_us_cm
Sheet2,2026-07-13,1,raw_replicate,0.42,83.1,27.7,7.804,463.1,7.47,463.0
Sheet2,2026-07-13,2,raw_replicate,0.55,89.5,27.3,7.832,459.9,7.55,462.0
Sheet2,2026-07-13,3,raw_replicate,0.45,90.2,27.2,7.829,457.9,7.56,461.0
Sheet2,2026-07-13,4,mean,0.473333333333333,87.6,27.4,7.82166666666667,460.3,7.52666666666667,462.0
Sheet2,2026-07-13,5,error,0.0555777733351102,3.1947874212014,0.216024689946928,0.0125521135891749,2.14165045389455,0.0402768199119819,0.816496580927726
Sheet1,2026-07-21,1,raw_replicate,0.2,176.0,28.4,7.388,406.9,3.38,400.0
Sheet1,2026-07-21,2,raw_replicate,0.23,180.0,30.0,7.319,405.6,3.29,402.0
Sheet1,2026-07-21,3,raw_replicate,0.235,182.0,28.2,7.331,410.1,3.4,398.0
Sheet1,2026-07-21,4,mean,0.221666666666667,179.333333333333,28.8666666666667,7.346,407.533333333333,3.35666666666667,400.0
Sheet1,2026-07-21,5,error,0.0154560308258262,2.49443825784929,0.805536398239639,0.0300998338865847,1.89091394715772,0.0478423336480244,1.63299316185545
Sheet4,2026-07-21,1,raw_replicate,0.28,97.1,31.6,7.733,444.0,3.09,452.0
Sheet4,2026-07-21,2,raw_replicate,0.26,102.0,31.5,7.796,411.1,3.51,454.0
Sheet4,2026-07-21,3,raw_replicate,0.26,96.4,31.3,7.793,398.6,4.05,453.0
Sheet4,2026-07-21,4,mean,0.266666666666667,98.5,31.4666666666667,7.774,417.9,3.55,453.0
Sheet4,2026-07-21,5,error,0.00942809041582064,2.49131825880731,0.124721912892465,0.0290172362570941,19.1480199150373,0.39293765408777,0.816496580927726
Sheet5,2026-07-31,1,raw_replicate,0.42,69.4,30.3,8.548,398.4,7.11,528.0
Sheet5,2026-07-31,2,raw_replicate,0.43,59.9,30.6,8.524,404.6,6.48,531.0
Sheet5,2026-07-31,3,raw_replicate,0.41,55.9,30.8,8.544,402.6,6.69,545.0
Sheet5,2026-07-31,4,mean,0.42,61.7333333333333,30.5666666666667,8.53866666666667,401.866666666667,6.76,534.666666666667
Sheet5,2026-07-31,5,error,0.00816496580927727,5.66176258382101,0.205480466765633,0.0104986771653496,2.58370965001017,0.261916017074176,7.40870359029762
Sheet7,2026-08-01,1,raw_replicate,0.83,63.2,33.8,7.47,393.8,3.57,636.0
Sheet7,2026-08-01,1,raw_replicate,0.21,364.0,39.3,8.437,431.1,5.43,406.0
Sheet7,2026-08-01,2,raw_replicate,0.81,62.9,32.3,7.538,394.0,3.22,649.0
Sheet7,2026-08-01,2,raw_replicate,0.24,361.0,36.9,8.47,433.5,5.73,397.0
Sheet7,2026-08-01,3,raw_replicate,0.82,72.9,32.0,7.521,392.8,3.11,635.0
Sheet7,2026-08-01,3,raw_replicate,0.25,352.0,37.2,8.465,429.8,5.25,405.0
Sheet7,2026-08-01,4,mean,0.82,66.3333333333333,32.7,7.50966666666667,393.533333333333,3.3,640.0
Sheet7,2026-08-01,4,mean,0.233333333333333,359.0,37.8,8.45733333333333,431.466666666667,5.47,402.666666666667
Sheet7,2026-08-01,5,error,0.00816496580927722,4.64494946749215,0.78740078740118,0.0288944439103593,0.524933858267451,0.196129209111409,6.37704215656966
Sheet7,2026-08-01,5,error,0.016996731711976,5.09901951359278,1.06770782520313,0.0145220139405284,1.53260852434301,0.197989898732234,4.02768199119819
Sheet9,2026-08-03,1,raw_replicate,0.3,153.0,32.4,7.73,425.45,4.0,402.0
Sheet9,2026-08-03,1,raw_replicate,0.58,110.0,33.6,7.631,406.9,4.25,418.0
Sheet9,2026-08-03,2,raw_replicate,0.315,163.0,32.9,7.75,423.07,3.34,377.0
Sheet9,2026-08-03,2,raw_replicate,0.58,115.0,34.0,7.657,395.65,3.57,484.0
Sheet9,2026-08-03,3,raw_replicate,0.33,170.0,33.1,7.727,418.45,3.32,379.0
Sheet9,2026-08-03,3,raw_replicate,0.6,113.0,34.2,7.619,395.07,7.01,477.0
Sheet9,2026-08-03,4,mean,0.315,162.0,32.8,7.73566666666667,422.323333333333,3.55333333333333,386.0
Sheet9,2026-08-03,4,mean,0.586666666666667,112.666666666667,33.9333333333333,7.63566666666667,399.206666666667,4.94333333333333,459.666666666667
Sheet9,2026-08-03,5,error,0.0122474487139159,6.97614984548545,0.294392028877596,0.0102089285540755,2.90610086236218,0.315946549628608,11.3431330181157
Sheet9,2026-08-03,5,error,0.00942809041582064,2.05480466765633,0.24944382578493,0.0158605030044938,5.44515891003702,1.48748856204753,29.6010510323911
